정류장순번,정류장,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시
0,경희대차고지,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,사색의광장,0,0,0,0,1,0,1,4,2,3,6,5,9,12,6,2,3,3,2,0,0
2,생명과학대.산업대학,0,0,0,0,0,0,0,1,0,1,2,1,1,3,1,1,1,0,1,0,0
3,경희대체육대학.외대,0,0,1,0,1,1,2,6,4,10,13,8,17,15,5,4,3,2,2,0,0
4,경희대학교,1,1,4,13,7,4,4,5,8,11,15,12,19,18,13,8,8,8,8,0,0
5,살구골.서광아파트,1,2,21,35,16,9,5,4,5,4,3,3,3,3,4,1,1,2,1,0,0
6,살구골동아아파트,3,12,45,82,33,13,12,10,10,8,6,6,7,7,6,4,4,3,4,0,0
7,살구골현대아파트.영통역4번출구,2,4,10,12,8,5,3,3,4,2,2,2,3,3,2,3,2,2,1,0,0
8,영통역,3,6,12,14,13,10,7,10,11,8,9,8,11,11,15,9,11,14,17,0,0
9,청명역3번출구,2,7,20,27,18,13,6,6,4,4,4,4,4,5,4,2,3,3,5,0,0
10,황골벽산아파트,0,9,42,36,27,19,10,5,8,5,5,4,4,6,4,3,3,4,3,0,0
11,영통입구,0,6,15,8,6,9,8,10,10,7,7,7,9,8,17,5,7,5,5,0,0
12,잔다리마을.힉스유타워,0,0,5,4,4,3,2,2,2,1,1,1,2,7,7,3,2,1,1,0,0
13,청현마을.수원신갈IC,1,10,27,30,13,19,14,13,12,9,10,10,11,14,16,7,6,6,4,0,0
14,가천대,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,2,1,0,1,0,0
15,장지역.가든파이브(중),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,문정법조단지.건영아파트(중),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,문정로데오거리입구(중),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
18,가락시장.가락시장역(중),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
