정류장순번,정류장,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시
0,경희대차고지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
1,사색의광장,0,0,0,0,0,0,0,0,1,3,1,2,2,2,1,0,0,0,2,0,0
2,생명과학대.산업대학,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0
3,경희대체육대학.외대,0,0,0,1,4,2,4,4,6,9,5,6,5,2,3,2,1,0,2,0,0
4,경희대학교,1,2,2,5,8,6,8,10,7,11,9,12,10,8,10,4,4,2,2,0,0
5,살구골.서광아파트,1,0,2,8,7,6,8,7,7,10,7,5,8,4,3,1,1,2,1,0,0
6,살구골동아아파트,2,3,4,10,10,19,14,15,20,16,18,11,10,7,5,4,3,4,4,0,0
7,살구골현대아파트.영통역4번출구,1,2,0,4,5,4,4,7,5,8,6,6,5,2,2,0,2,2,2,0,0
8,영통역,2,7,1,5,8,9,10,14,18,20,19,16,13,13,17,9,11,14,18,0,0
9,청명역3번출구,0,3,1,3,7,6,10,9,14,9,10,7,10,6,3,1,2,4,4,0,0
10,황골벽산아파트,0,2,2,4,13,12,10,15,14,10,10,8,6,6,5,2,2,4,2,0,0
11,영통입구,1,1,2,6,13,6,12,15,17,9,10,10,11,10,5,4,4,6,3,0,0
12,잔다리마을.힉스유타워,0,0,1,2,2,2,3,3,4,2,2,4,4,2,2,1,1,2,0,0,0
13,청현마을.수원신갈IC,1,5,4,10,11,19,11,20,14,9,17,13,11,10,9,2,4,2,4,0,0
14,가천대,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0
15,장지역.가든파이브(중),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,문정법조단지.건영아파트(중),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,문정로데오거리입구(중),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,가락시장.가락시장역(중),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,송파역(중),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,석촌역(중),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,석촌호수.한솔병원(중),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,잠실역.잠실대교남단(중),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,자양동잠실대교북단,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,구의역3번출구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,테크노마트앞.강변역(C),0,1,1,2,1,2,5,4,5,4,5,8,7,3,8,5,4,9,4,6,0
26,구의역2번출구,0,0,0,2,3,4,5,3,6,5,4,5,11,6,6,6,8,8,10,14,0
27,자양동잠실대교북단,0,0,1,5,2,4,4,4,8,4,3,5,5,3,4,4,4,5,6,5,0
28,잠실역.잠실대교남단(중),0,0,7,6,5,6,9,12,13,14,17,30,22,40,32,39,53,62,51,22,0
29,석촌호수.한솔병원(중),0,0,2,3,3,3,3,4,8,3,5,8,6,8,10,8,17,24,20,16,4
30,석촌역(중),0,0,1,2,1,3,4,4,4,3,4,4,5,4,5,5,4,9,9,6,0
31,송파역(중),0,0,0,3,3,2,4,2,4,4,2,3,2,5,4,2,2,3,3,3,1
32,가락시장.가락시장역(중),0,0,2,4,2,1,3,3,4,2,5,6,4,6,5,9,5,7,4,9,1
33,문정로데오거리입구(중),0,0,1,1,1,1,3,2,4,2,2,5,6,4,2,4,2,1,1,3,0
34,문정법조단지.건영아파트(중),0,0,1,1,3,2,2,2,4,4,7,3,6,8,5,3,4,1,0,2,0
35,장지역.가든파이브(중),0,0,4,5,4,3,5,9,8,5,4,7,8,9,6,6,9,3,1,4,2
36,가천대,0,0,2,3,4,3,5,5,6,5,3,7,6,4,6,6,4,1,2,4,1
37,청현마을.수원신갈IC,0,0,0,0,2,1,0,3,3,4,2,4,4,1,2,1,3,2,4,2,1
38,잔다리마을.힉스유타워,0,0,1,0,0,0,0,2,2,2,2,0,0,1,2,0,1,0,0,0,1
39,신동아파밀리에,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,황골주공.벽산아파트,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,2,1,0
41,청명역4번출구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,훼미리타워,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,영통역8번출구.수원지방법원등기국,0,0,0,0,2,1,0,0,0,4,2,2,1,0,2,1,0,1,0,1,0
44,극동.풍림아파트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,e편한세상아파트,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46,서그내,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,경희대정문,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,외국어대학,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,생명과학대,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,사색의광장,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,경희대차고지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
