정류장순번,정류장,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시
0,초당주공3단지후문,0,0,2,0,0,0,1,0,0,0
1,초당초등학교.현진에버빌,0,0,0,1,1,1,2,0,0,0
2,초당중학교.삼부르네상스아파트,0,0,1,2,2,1,4,0,0,0
3,동백경남아너스빌,0,0,2,2,1,5,2,0,0,0
4,동백역.성산마을서해그랑블,1,0,3,2,3,4,7,0,0,0
5,동백2동행정복지센터,0,0,0,2,1,1,2,1,0,0
6,쥬네브상가,0,0,0,0,0,0,0,0,0,0
7,동백소방서.동일하이빌.롯데캐슬,1,1,1,2,4,4,5,1,0,0
8,동백고.풍림코아루.호수마을서해그랑블,2,2,1,4,5,9,5,3,0,0
9,동백중학교,1,3,4,9,14,12,7,3,0,0
10,동막초등학교.호수마을계룡리슈빌.어울림,0,0,5,2,6,3,7,2,0,0
11,두산위브더제니스.호수마을.자연엔데시앙,0,2,3,7,16,14,14,5,0,0
12,동백이마트,1,3,5,3,11,9,14,6,0,0
13,어정역,0,1,4,6,7,5,8,3,0,0
14,어정풍림아파트,0,1,4,3,11,10,7,3,0,0
15,갈천마을,0,1,2,3,3,2,2,1,0,0
16,지석역,0,0,0,3,1,2,2,0,0,0
17,어정삼거리.강남마을,0,1,1,4,4,4,5,3,0,0
18,강남대역.강남대입구,1,1,2,3,5,6,12,6,0,0
19,수원컨트리클럽,0,1,2,4,6,12,8,4,0,0
20,기흥역,1,1,3,8,15,15,17,11,0,0
21,롯데캐슬스카이.이안두드림.백남준아트센터,0,2,4,6,9,3,2,4,0,0
22,상미마을.신갈오거리.롯데캐슬레이시티,0,2,2,7,13,4,4,3,0,0
23,순천향대학병원,0,0,0,1,1,0,0,0,0,0
24,남대문세무서.국가인권위원회,0,0,0,0,0,1,0,0,0,0
25,청계2가교차로,0,0,0,0,1,0,0,0,0,0
26,조계사,0,0,0,0,0,0,1,1,1,0
27,세종문화회관,0,0,0,1,1,3,3,3,4,0
28,신한은행본점,0,0,1,0,1,0,2,1,1,0
29,서울역버스환승센터(5번승강장)(중),0,2,3,5,6,6,8,6,7,0
30,숭례문,0,0,1,1,1,1,2,2,2,0
31,명동입구,0,1,3,3,4,3,5,5,5,0
32,명동성당,0,2,1,2,6,12,4,9,12,0
33,순천향대학병원,0,0,4,3,7,7,3,10,9,0
34,상미마을.신갈오거리.롯데캐슬레이시티,0,0,0,0,1,0,1,0,0,0
35,롯데캐슬스카이.이안두드림.백남준아트센터,0,0,0,0,1,0,1,1,1,0
36,기흥역,0,0,1,2,1,1,1,2,1,1
37,수원컨트리클럽,0,0,0,0,1,0,0,0,0,0
38,강남대역.강남대입구,0,0,0,0,0,1,0,0,0,1
39,지석역,0,0,0,0,0,0,0,0,0,0
40,갈천마을.주공아파트,0,0,0,0,1,0,0,0,0,0
41,어정풍림아파트,0,0,0,0,0,0,0,0,0,0
42,어정역,0,0,0,0,0,0,0,0,0,0
43,동백이마트,0,0,0,0,0,0,0,0,0,0
44,평촌마을,0,0,0,0,0,0,0,0,0,0
45,호수마을.자연앤데시앙.두산위브더제니스,0,0,0,0,0,0,0,0,1,0
46,호수마을자연앤데시앙.월드메르디앙,0,0,0,0,0,1,0,0,0,0
47,동막초등학교.호수마을계룡리슈빌.어울림,0,0,0,0,0,0,0,0,0,0
48,동백중학교,0,0,0,0,0,0,0,1,0,0
49,동백고.호수마을서해그랑블.풍림코아루,0,0,0,0,0,1,0,0,0,0
50,동백소방서.동일하이빌.롯데캐슬,0,0,0,0,0,0,0,0,0,0
51,쥬네브상가,0,0,0,0,0,0,0,0,0,0
52,동백2동행정복지센터,0,0,0,0,0,0,0,0,0,0
53,동백역.성산마을서해그랑블,0,0,0,0,0,0,0,0,0,0
54,동백경남아너스빌,0,0,0,0,0,0,0,0,0,0
55,초당중학교.삼부르네상스아파트,0,0,0,0,0,0,0,0,0,0
56,초당초등학교.현진에버빌,0,0,0,0,0,0,0,0,0,0
57,초당역,0,0,0,0,0,0,0,0,0,0
