정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시
0,동탄2차고지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,호수자이파밀리에.아이원,0,1,1,1,2,2,2,2,3,2,2,1,1,1,1,1,0,1,0,0,0,0,0,0
2,금호어울림.계룡리슈빌,0,1,1,1,3,3,4,3,4,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0
3,동탄호수공원.부영4차,0,2,1,1,6,6,6,7,8,5,5,5,4,3,3,3,3,4,2,0,0,0,0,0
4,호수부영3차.우미린2차,0,2,2,2,10,8,10,13,12,8,8,8,6,5,4,5,4,6,1,1,0,0,0,0
5,나래학교.더샵레이크,0,2,1,2,10,10,11,15,15,10,7,9,7,5,4,3,2,4,2,0,0,0,0,0
6,반도3차.금강1차,0,3,2,3,12,12,12,16,16,11,8,7,7,5,3,3,2,3,1,0,0,0,0,0
7,의료시설부지,0,1,1,0,4,4,5,10,9,6,5,5,3,2,1,2,1,2,1,0,0,0,0,0
8,리베라CC.헤리엇,0,1,0,3,7,7,9,15,11,7,4,5,2,3,1,1,1,1,0,0,0,0,0,0
9,한화.린스트라우스,0,4,3,4,13,15,17,21,22,15,11,11,10,9,5,6,5,6,3,1,0,0,0,0
10,포스코더샵.롯데캐슬,0,5,3,5,13,17,19,26,27,19,15,13,14,10,7,8,8,7,5,2,0,0,0,0
11,우남퍼스트빌.예미지시그너스,0,3,3,6,16,20,22,28,30,21,16,14,15,12,7,7,9,6,3,1,0,0,0,0
12,상록.테크노밸리.GS자이,0,3,2,4,13,20,23,26,33,21,15,14,16,11,6,6,6,4,3,1,0,0,0,0
13,한미약품.푸르지오,0,2,4,5,16,21,25,30,33,26,21,17,15,10,9,9,10,8,4,1,0,0,0,0
14,예당고사거리,0,1,1,2,9,15,23,28,28,21,16,12,8,3,5,4,5,6,1,0,0,0,0,0
15,전하리교회.우미제일,0,2,1,2,8,19,23,27,32,20,19,14,12,8,5,5,8,7,3,0,0,0,0,0
16,한림대성심병원,0,1,2,5,15,24,28,30,33,25,23,20,16,10,8,7,7,8,3,2,0,0,0,0
17,KCC사옥,0,0,6,4,9,20,24,27,32,32,21,21,18,17,12,9,9,11,7,4,0,0,0,0
18,신논현역.유화빌딩,0,0,5,4,5,9,12,12,12,17,15,17,20,22,18,18,20,27,20,10,3,0,0,0
19,신분당선강남역(중),0,0,5,3,3,6,6,8,10,15,15,19,23,25,24,22,27,33,27,12,5,0,0,0
20,래미안아파트.파이낸셜뉴스(중),0,0,3,1,2,4,3,6,6,11,12,14,18,21,20,17,22,25,24,7,1,0,0,0
21,뱅뱅사거리(중),0,0,1,2,1,3,3,7,7,10,13,14,21,20,22,18,24,29,25,8,2,0,0,0
22,양재역.서초문화예술회관(중),0,0,2,2,3,4,5,8,9,13,19,20,25,29,26,24,30,36,30,12,3,0,0,0
23,교육개발원입구(중),0,0,1,1,1,2,3,5,6,9,12,11,16,20,17,11,21,15,12,2,0,0,0,0
24,매헌시민의숲.양재꽃시장,0,0,2,3,4,5,6,8,9,12,19,19,25,29,27,22,28,35,26,11,2,0,0,0
25,이마트.한림대병원,0,0,1,2,1,2,5,5,6,10,14,17,22,23,27,26,26,30,28,22,8,0,0,0
26,우미제일.전하리교회,0,0,0,1,1,3,5,5,6,8,11,13,18,21,21,23,23,25,24,19,6,0,0,0
27,예당고사거리,0,0,0,1,1,2,2,4,4,5,7,8,12,8,11,18,8,18,16,10,3,0,0,0
28,푸르지오.한미약품,0,0,1,1,1,2,5,5,5,8,11,13,18,20,22,22,21,22,23,19,7,0,0,0
29,상록.테크노밸리.GS자이,0,0,0,1,1,1,2,2,3,4,7,9,14,18,18,19,15,19,22,14,5,0,0,0
30,예미지시그너스.우남퍼스트빌,0,0,0,1,1,2,4,4,4,6,9,9,15,19,18,18,16,17,19,16,6,0,0,0
31,롯데캐슬.포스코더샵,0,0,0,1,1,2,4,4,4,6,8,9,12,16,15,15,13,15,16,13,6,0,0,0
32,린스트라우스.한화,0,0,0,1,1,1,2,2,2,4,6,6,10,14,12,12,11,12,14,11,5,0,0,0
33,헤리엇.리베라CC,0,0,0,0,0,0,0,0,1,1,2,2,1,7,5,6,6,7,8,6,2,0,0,0
34,공공청사부지,0,0,0,0,0,1,0,2,1,2,1,2,4,9,6,7,5,6,8,5,2,0,0,0
35,반도3차.금강1차,0,0,0,1,0,0,1,1,1,1,3,4,6,10,9,8,8,9,10,8,3,0,0,0
36,레이크빌.하우스디더레이크,0,0,0,0,0,1,1,1,2,2,4,5,6,8,7,7,7,8,8,8,3,0,0,0
37,우미린2차.호수부영3차,0,0,0,0,0,1,1,1,1,2,3,3,4,6,5,5,5,5,5,5,2,0,0,0
38,동탄호수공원,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,2,3,3,3,1,0,0,0
39,계룡리슈빌.금호어울림,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,0,0,0,0
40,아이원.호수자이파밀리에,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,동탄2차고지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
