정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시
0,동탄2차고지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,호수자이파밀리에.아이원,0,1,1,1,4,4,4,3,4,3,2,3,2,2,1,1,1,1,0,0,0,0,0,0
2,금호어울림.계룡리슈빌,0,2,1,1,6,6,6,5,6,3,4,5,3,2,1,1,1,0,0,1,0,0,0,0
3,동탄호수공원.부영4차,0,3,2,3,10,11,12,11,13,9,8,10,8,6,4,3,2,4,2,1,0,0,0,0
4,호수부영3차.우미린2차,0,4,3,6,13,15,17,18,19,13,12,13,12,9,5,4,3,7,2,1,0,0,0,0
5,나래학교.더샵레이크,0,3,3,8,15,18,20,22,21,17,14,15,12,9,4,2,1,3,1,0,0,0,0,0
6,반도3차.금강1차,0,3,3,7,17,20,22,24,23,18,13,17,14,11,3,2,1,2,1,0,0,0,0,0
7,의료시설부지,0,1,0,1,11,9,11,19,19,11,8,10,10,6,1,1,1,2,0,1,0,0,0,0
8,리베라CC.헤리엇,0,1,1,5,14,11,16,26,19,13,10,8,10,8,1,2,2,2,1,0,0,0,0,0
9,한화.린스트라우스,0,3,3,11,22,25,29,33,31,25,19,22,20,15,7,4,4,6,4,3,0,0,0,0
10,포스코더샵.롯데캐슬,0,5,5,12,25,28,34,37,36,30,24,27,24,19,9,5,7,9,5,3,0,0,0,0
11,우남퍼스트빌.예미지시그너스,0,3,5,13,26,31,38,35,37,33,27,29,28,22,10,5,5,6,5,3,0,0,0,0
12,상록.테크노밸리.GS자이,0,4,5,9,29,35,41,34,34,35,29,29,29,20,11,3,4,6,4,2,0,0,0,0
13,한미약품.푸르지오,0,3,6,10,26,37,40,40,31,37,35,35,33,27,14,6,8,8,5,3,0,0,0,0
14,예당고사거리,0,1,2,8,22,31,33,35,25,28,29,23,29,20,8,2,3,4,2,2,0,0,0,0
15,전하리교회.우미제일,0,1,4,7,27,34,39,39,28,32,34,31,29,28,12,4,5,8,2,2,0,0,0,0
16,한림대성심병원,0,2,4,10,27,38,37,43,31,38,39,35,35,36,17,6,8,8,3,3,0,0,0,0
17,KCC사옥,0,0,7,8,19,33,40,40,36,39,34,31,35,32,21,11,8,11,9,6,1,0,0,0
18,신논현역.유화빌딩,0,0,5,5,9,12,16,20,16,21,21,22,30,31,25,21,25,33,34,21,10,0,0,0
19,신분당선강남역(중),0,0,5,4,5,8,8,13,13,16,21,25,34,33,31,25,31,41,41,28,15,0,0,0
20,래미안아파트.파이낸셜뉴스(중),0,0,2,2,5,5,5,9,10,12,20,21,27,31,28,23,28,33,36,20,9,0,0,0
21,뱅뱅사거리(중),0,0,3,2,4,5,5,11,12,13,18,22,28,31,27,22,23,37,34,21,5,0,0,0
22,양재역.서초문화예술회관(중),0,0,4,4,5,7,7,13,13,16,22,25,33,36,34,29,32,44,40,32,13,0,0,0
23,교육개발원입구(중),0,0,1,3,2,3,5,5,8,8,11,15,21,22,21,15,10,22,15,13,3,0,0,0
24,매헌시민의숲.양재꽃시장,0,0,2,6,5,6,8,10,13,17,22,25,32,37,36,28,27,41,27,26,10,0,0,0
25,이마트.한림대병원,0,0,1,4,3,6,6,9,11,13,18,22,30,33,35,32,28,34,43,37,24,0,0,0
26,우미제일.전하리교회,0,0,1,2,2,5,5,7,11,14,16,20,29,29,31,30,27,31,40,36,23,0,0,0
27,예당고사거리,0,0,0,1,1,3,1,4,5,7,9,16,20,22,23,22,16,22,32,17,14,0,0,0
28,푸르지오.한미약품,0,0,0,2,2,5,4,6,10,12,15,18,22,31,29,28,23,28,35,33,22,0,0,0
29,상록.테크노밸리.GS자이,0,0,0,1,1,2,2,4,7,7,12,12,19,28,26,23,16,27,31,33,19,0,0,0
30,예미지시그너스.우남퍼스트빌,0,0,0,1,1,5,4,5,8,8,14,14,17,26,24,22,17,24,29,29,19,0,0,0
31,롯데캐슬.포스코더샵,0,0,0,1,2,4,3,4,8,8,11,13,15,22,20,20,17,19,25,24,16,0,0,0
32,린스트라우스.한화,0,0,0,1,2,2,3,2,5,7,9,10,13,19,16,18,13,17,22,21,13,0,0,0
33,헤리엇.리베라CC,0,0,0,0,0,0,0,0,2,2,3,5,5,13,9,9,8,9,17,17,7,0,0,0
34,공공청사부지,0,0,0,0,1,1,1,1,3,2,3,5,5,9,10,11,6,9,16,12,8,1,0,0
35,반도3차.금강1차,0,0,0,1,0,1,0,1,2,4,5,7,7,15,12,13,10,12,16,16,9,1,0,0
36,레이크빌.하우스디더레이크,0,0,0,0,1,1,2,1,4,4,4,7,8,12,11,12,9,11,13,14,8,2,0,0
37,우미린2차.호수부영3차,0,0,0,0,1,1,2,1,3,4,4,5,5,8,7,7,6,7,9,9,5,2,0,0
38,동탄호수공원,0,0,0,0,0,0,1,1,1,1,1,2,2,4,4,4,3,4,6,7,3,1,0,0
39,계룡리슈빌.금호어울림,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,4,2,0,0,0
40,아이원.호수자이파밀리에,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,동탄2차고지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
