정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시
0,동탄2차고지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,호수자이파밀리에.아이원,0,2,2,3,3,3,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
2,금호어울림.계룡리슈빌,0,3,5,6,6,5,3,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0
3,동탄호수공원.부영4차,0,5,8,9,9,9,5,5,5,4,4,5,6,5,3,3,2,2,3,1,0,0,0,0
4,호수부영3차.우미린2차,0,8,12,12,12,12,8,7,7,6,5,8,7,9,5,4,3,2,4,1,0,0,0,0
5,나래학교.더샵레이크,0,9,16,17,15,15,10,8,9,7,6,7,8,8,4,2,2,1,2,1,0,0,0,0
6,반도3차.금강1차,0,12,19,23,18,17,11,8,9,6,5,5,7,7,3,1,1,1,1,0,0,0,0,0
7,의료시설부지,0,2,10,13,9,5,4,4,3,3,2,3,2,4,2,1,1,1,1,0,0,0,0,0
8,리베라CC.헤리엇,0,7,17,26,17,11,7,5,5,4,3,4,4,7,2,1,1,1,1,0,0,0,0,0
9,한화.린스트라우스,0,11,21,28,23,20,14,12,12,9,8,9,8,11,6,4,4,3,5,2,0,0,0,0
10,포스코더샵.롯데캐슬,0,12,24,28,25,23,16,13,14,12,9,11,11,13,7,5,7,4,5,3,0,0,0,0
11,우남퍼스트빌.예미지시그너스,0,15,28,31,27,26,17,14,15,14,10,10,12,13,8,5,5,3,4,2,0,0,0,0
12,상록.테크노밸리.GS자이,0,17,28,32,30,28,18,14,14,15,10,8,13,15,9,4,4,3,3,2,0,0,0,0
13,한미약품.푸르지오,0,11,29,36,32,30,18,17,15,17,13,12,15,21,18,8,8,5,5,4,0,0,0,0
14,예당고사거리,0,13,26,39,31,27,12,13,10,11,6,6,9,17,10,3,3,2,2,1,0,0,0,0
15,전하리교회.우미제일,0,8,27,43,33,31,15,14,14,14,9,9,11,20,17,6,6,3,4,1,0,0,0,0
16,한림대성심병원,0,5,26,42,33,30,18,18,19,17,14,15,17,26,24,9,9,6,5,2,0,0,0,0
17,KCC사옥,0,0,18,37,38,33,26,17,17,18,14,13,14,18,19,15,9,7,7,5,0,0,0,0
18,신논현역.유화빌딩,0,0,12,20,18,14,12,10,10,12,12,13,16,18,22,16,15,18,20,14,4,0,0,0
19,신분당선강남역(중),0,0,9,12,10,7,7,8,9,12,14,16,22,28,37,26,23,27,30,19,9,0,0,0
20,래미안아파트.파이낸셜뉴스(중),0,0,8,11,8,5,5,6,6,9,11,13,22,29,39,26,22,25,30,15,5,0,0,0
21,뱅뱅사거리(중),0,0,8,11,7,4,5,5,6,9,11,12,20,30,42,26,23,25,29,16,3,0,0,0
22,양재역.서초문화예술회관(중),0,0,8,13,9,5,5,6,8,11,14,16,23,34,47,32,26,30,36,20,8,0,0,0
23,교육개발원입구(중),0,0,7,9,7,4,4,3,5,5,7,8,18,31,44,26,18,21,20,7,2,0,0,0
24,매헌시민의숲.양재꽃시장,0,0,7,15,11,6,6,6,8,10,15,17,24,37,48,36,28,32,36,20,9,0,0,0
25,이마트.한림대병원,0,0,1,7,8,6,4,5,7,9,11,15,20,31,41,40,29,28,32,29,12,0,0,0
26,우미제일.전하리교회,0,0,0,5,6,4,3,4,5,7,8,12,18,27,35,37,27,26,30,29,12,0,0,0
27,예당고사거리,0,0,0,3,7,4,2,2,3,4,4,10,12,15,29,33,16,18,23,20,7,0,0,0
28,푸르지오.한미약품,0,0,0,4,5,4,3,4,5,7,9,12,17,25,31,32,25,25,27,28,12,0,0,0
29,상록.테크노밸리.GS자이,0,0,0,3,3,2,2,2,3,5,6,8,14,22,28,29,22,22,23,25,11,0,0,0
30,예미지시그너스.우남퍼스트빌,0,0,0,2,4,2,2,2,4,5,7,9,13,20,26,27,21,21,21,23,11,0,0,0
31,롯데캐슬.포스코더샵,0,0,0,2,3,2,2,3,4,5,7,8,12,18,23,23,19,19,19,20,11,0,0,0
32,린스트라우스.한화,0,0,0,2,4,1,1,1,3,4,5,6,10,15,20,21,17,16,16,17,10,1,0,0
33,헤리엇.리베라CC,0,0,0,1,2,0,0,0,1,1,2,2,5,9,10,16,13,10,11,11,7,0,0,0
34,공공청사부지,0,0,0,0,1,0,0,0,1,1,1,3,5,8,11,15,11,8,12,10,4,0,0,0
35,반도3차.금강1차,0,0,0,1,2,0,0,1,1,2,3,4,6,11,16,16,14,13,12,13,7,1,0,0
36,레이크빌.하우스디더레이크,0,0,0,1,3,1,1,1,2,2,3,4,6,10,13,13,11,10,10,11,6,1,0,0
37,우미린2차.호수부영3차,0,0,0,1,2,1,1,1,1,2,2,3,4,7,9,9,8,7,7,8,5,1,0,0
38,동탄호수공원,0,0,0,0,1,0,0,0,0,1,1,1,2,3,5,5,5,5,5,5,3,0,0,0
39,계룡리슈빌.금호어울림,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,2,0,0,0
40,아이원.호수자이파밀리에,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,동탄2차고지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
